member,segment,priority,churn_risk,risk_band,value_band,clv,fwd_value,recency,flights_total,flights_6m,momentum,tenure_months,redeem_rate,Loyalty Card,Province,City
480934,Core Frequent Flyers,P3,0.3068,Medium,Standard,3839.14,2661.0,0.0,37,13,1.0,34,0.026,Star,Ontario,Toronto
549612,Core Frequent Flyers,P3,0.196,Low,Standard,3839.61,3087.0,0.0,58,13,-0.0667,33,0.0254,Star,Alberta,Edmonton
608370,Core Frequent Flyers,P3,0.1851,Low,Standard,3839.75,3129.0,0.0,35,5,-0.1429,70,0.0267,Star,Ontario,Toronto
530508,Core Frequent Flyers,P3,0.2054,Low,Standard,3842.79,3054.0,0.0,37,17,0.8,50,0.0,Star,Quebec,Hull
193662,Core Frequent Flyers,P3,0.1502,Low,Standard,3844.57,3267.0,0.0,86,15,-0.2,79,0.0088,Star,Yukon,Whitehorse
927943,Core Frequent Flyers,P3,0.1852,Low,Standard,3857.95,3144.0,0.0,40,11,-0.1429,54,0.0259,Star,Ontario,Toronto
188893,Core Frequent Flyers,P3,0.2132,Low,Standard,3861.49,3038.0,2.0,41,10,0.2222,24,0.0101,Star,Ontario,Trenton
852392,Cooling Veterans,P3,0.1114,Low,Standard,3861.49,3431.0,4.0,27,2,-0.5,43,0.031,Star,Quebec,Montreal
866307,Core Frequent Flyers,P3,0.311,Medium,Standard,3861.49,2661.0,1.0,44,9,-0.2308,26,0.0301,Star,Ontario,Toronto
932823,Core Frequent Flyers,P3,0.3031,Medium,Standard,3863.31,2692.0,1.0,51,10,-0.3529,45,0.0061,Star,British Columbia,Vancouver
144514,Core Frequent Flyers,P3,0.3326,Medium,Standard,3864.78,2579.0,1.0,31,7,-0.3846,30,0.0315,Star,British Columbia,Dawson Creek
611765,Core Frequent Flyers,P3,0.095,Low,Standard,3867.97,3501.0,0.0,26,16,0.5455,11,0.0113,Star,Quebec,Quebec City
988178,Core Frequent Flyers,P3,0.2171,Low,Standard,3871.07,3031.0,0.0,63,12,-0.0714,62,0.0138,Star,Quebec,Montreal
286114,Core Frequent Flyers,P3,0.2326,Low,Standard,3872.22,2972.0,1.0,26,8,0.8,25,0.0594,Star,Ontario,Toronto
205785,Core Frequent Flyers,P3,0.163,Low,Standard,3873.65,3242.0,0.0,35,4,0.0,28,0.0241,Star,Ontario,Toronto
735304,Core Frequent Flyers,P3,0.2034,Low,Standard,3873.65,3086.0,0.0,29,11,0.2,24,0.0235,Star,Alberta,Edmonton
438936,Core Frequent Flyers,P3,0.1066,Low,Standard,3878.77,3465.0,0.0,52,14,0.5,62,0.0074,Star,Quebec,Montreal
172755,Core Frequent Flyers,P3,0.1246,Low,Standard,5303.76,4643.0,0.0,40,19,-0.0909,9,0.0118,Aurora,Alberta,Edmonton
413741,Cooling Veterans,P3,0.2077,Low,Standard,3885.46,3078.0,5.0,36,6,-0.2222,41,0.0324,Star,Ontario,Toronto
552965,New Climbers,P3,0.2287,Low,Standard,3885.46,2997.0,0.0,3,3,3.0,1,0.0,Star,Quebec,Montreal
642313,Cooling Veterans,P3,0.3538,Medium,Standard,3885.46,2511.0,6.0,33,0,-0.9333,33,0.0319,Star,Alberta,Edmonton
263080,Core Frequent Flyers,P3,0.2131,Low,Standard,3886.5,3058.0,0.0,29,7,-0.1111,55,0.009,Star,Alberta,Edmonton
109767,Core Frequent Flyers,P3,0.297,Low,Standard,3886.65,2732.0,0.0,44,13,0.0769,31,0.0262,Star,Ontario,Toronto
217754,Core Frequent Flyers,P3,0.2605,Low,Standard,3887.32,2874.0,1.0,32,6,0.0,42,0.0,Star,Quebec,Montreal
157005,Core Frequent Flyers,P3,0.1656,Low,Standard,3890.87,3246.0,1.0,48,12,0.4444,26,0.0137,Star,British Columbia,Vancouver
557752,Core Frequent Flyers,P3,0.1737,Low,Standard,3890.87,3215.0,0.0,22,11,0.7143,14,0.042,Star,Ontario,Toronto
608758,Core Frequent Flyers,P3,0.1571,Low,Standard,3890.96,3280.0,0.0,40,15,0.2308,65,0.0,Star,Ontario,Ottawa
599341,Core Frequent Flyers,P3,0.3018,Medium,Standard,3891.54,2717.0,0.0,58,12,0.3,37,0.0183,Star,Quebec,Tremblant
333502,Core Frequent Flyers,P3,0.2045,Low,Standard,3891.58,3096.0,0.0,42,18,0.7273,57,0.0068,Star,British Columbia,Vancouver
403361,Cooling Veterans,P3,0.2449,Low,Standard,3895.03,2941.0,2.0,19,11,1.0,14,0.0,Star,British Columbia,Vancouver
543918,Core Frequent Flyers,P3,0.3131,Medium,Standard,3896.57,2677.0,1.0,52,11,0.0,73,0.0458,Star,Quebec,Montreal
806030,New Climbers,P2,0.7195,High,Standard,3903.47,1095.0,0.0,14,10,1.2,7,0.0213,Star,Alberta,Calgary
119200,Core Frequent Flyers,P3,0.2066,Low,Standard,3903.8,3097.0,1.0,31,10,-0.0833,19,0.0225,Star,British Columbia,Vancouver
938981,Core Frequent Flyers,P3,0.0769,Low,Standard,5337.35,4927.0,1.0,38,30,2.4444,8,0.0,Aurora,Alberta,Edmonton
238119,Core Frequent Flyers,P3,0.0904,Low,Standard,3906.67,3554.0,0.0,50,8,-0.5,67,0.0078,Star,Quebec,Montreal
730388,Core Frequent Flyers,P3,0.1604,Low,Standard,3907.03,3280.0,0.0,49,19,1.5,79,0.0,Star,Ontario,Thunder Bay
127400,Cooling Veterans,P3,0.2997,Low,Standard,3914.72,2741.0,2.0,29,5,-0.5,54,0.0141,Star,British Columbia,Whistler
324557,Core Frequent Flyers,P3,0.0931,Low,Standard,3914.72,3550.0,0.0,34,6,-0.4615,70,0.0123,Star,Quebec,Montreal
742002,Core Frequent Flyers,P3,0.227,Low,Standard,3915.8,3027.0,1.0,28,7,-0.1111,31,0.0099,Star,Ontario,Toronto
536567,Core Frequent Flyers,P3,0.3199,Medium,Standard,3919.37,2666.0,0.0,56,17,0.0588,31,0.0154,Star,Alberta,Peace River
704835,Cooling Veterans,P3,0.1811,Low,Standard,3919.37,3210.0,4.0,40,9,-0.2857,27,0.0232,Star,British Columbia,Whistler
758635,New Climbers,P2,0.64,High,Standard,3919.37,1411.0,0.0,9,9,9.0,6,0.0,Star,Quebec,Montreal
823048,New Climbers,P2,0.7823,High,Standard,3919.37,853.0,1.0,18,14,2.0,7,0.0,Star,British Columbia,Vancouver
612905,Core Frequent Flyers,P3,0.2098,Low,Standard,3920.51,3098.0,0.0,35,8,-0.1818,46,0.0117,Star,Ontario,Toronto
679908,Core Frequent Flyers,P3,0.1626,Low,Standard,3921.02,3283.0,0.0,36,5,-0.25,40,0.017,Star,Quebec,Montreal
704150,Core Frequent Flyers,P3,0.2797,Low,Standard,3921.02,2824.0,0.0,36,8,-0.1,50,0.0213,Star,Manitoba,Winnipeg
596179,Core Frequent Flyers,P3,0.1704,Low,Standard,3933.81,3264.0,1.0,44,3,-0.6667,57,0.0,Star,New Brunswick,Fredericton
370450,Core Frequent Flyers,P3,0.174,Low,Standard,3934.1,3250.0,0.0,44,18,0.7273,73,0.0246,Star,Ontario,Thunder Bay
501030,Core Frequent Flyers,P3,0.265,Low,Standard,3934.71,2892.0,1.0,26,4,-0.1667,21,0.0,Star,British Columbia,Vancouver
878633,Core Frequent Flyers,P3,0.0915,Low,Standard,3936.79,3577.0,0.0,44,7,-0.2727,60,0.0,Star,Ontario,Trenton
285938,Cooling Veterans,P3,0.1401,Low,Standard,3939.01,3387.0,4.0,40,9,0.0,51,0.0095,Star,Quebec,Montreal
588237,Cooling Veterans,P3,0.2943,Low,Standard,3939.01,2780.0,2.0,33,9,4.0,61,0.0648,Star,Quebec,Tremblant
645280,Core Frequent Flyers,P3,0.2205,Low,Standard,3939.01,3070.0,2.0,43,6,-0.4167,72,0.0129,Star,British Columbia,West Vancouver
864324,Core Frequent Flyers,P3,0.0873,Low,Standard,3939.01,3595.0,1.0,43,8,-0.5,6,0.0289,Star,Quebec,Quebec City
124678,Core Frequent Flyers,P3,0.1704,Low,Standard,3954.34,3281.0,1.0,51,14,0.25,66,0.0041,Star,Nova Scotia,Halifax
